Détails;Prix;Adresse;Categorie;Image_lien
Coqs et poussins;800 CFA;Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_886578_uploaded_image1_1567011857.49.png)
Poulet de chair;2 500 CFA;Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_886584_uploaded_image1_1567011994.0.png)
Coq;30 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_899472_uploaded_image1_1567385639.81.png)
Poussins bantam;15 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_899477_uploaded_image1_1567385912.28.png)
Barahmane;15 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_899487_uploaded_image1_1567386142.96.png)
Femelle Cochin bleu;30 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_899496_uploaded_image1_1567386467.81.png)
Poulet de chair;Prix sur demande;Pikine, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_908730_uploaded_image1_1567603082.63.png)
Poussins Bantam;8 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_912493_uploaded_image1_1567685916.85.png)
Bouldolande;7 000 CFA;Dieuppeul-Derklé, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_944280_uploaded_image1_1568469542.41.png)
Poulet - Pigeon  - Lapin;Prix sur demande;Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_944363_uploaded_image1_1568471599.26.png)
Poules;7 000 CFA;Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_977534_uploaded_image1_1569239272.43.png)
Bleus d'hollande;15 000 CFA;Hann Bel-Air, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1006380_uploaded_image1_1569854064.06.png)
Pigeon voyageur;20 000 CFA;Grand Yoff, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1006407_uploaded_image1_1569854536.38.png)
Pigeon voyageur;25 000 CFA;Grand Yoff, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1006413_uploaded_image1_1569854645.39.png)
Pigeon voyageur;20 000 CFA;Grand Yoff, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1006424_uploaded_image1_1569854764.54.png)
Lapin angora californien;15 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1014679_uploaded_image1_1570023780.43.png)
Lapin géant;45 000 CFA;Yoff, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1023073_uploaded_image1_1570188340.15.png)
Perroquet;75 000 CFA;Hann Bel-Air, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1040990_uploaded_image1_1570583700.42.png)
Lapin géant des Flandres;35 000 CFA;Mermoz-Sacré Coeur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1072763_uploaded_image1_1571252694.33.png)
Pigeon links;Prix sur demande;Diourbel, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1091921_uploaded_image1_1571681099.26.png)
Couple pigeons cravatés français;50 000 CFA;Cambérène, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1112720_uploaded_image1_1572054298.36.png)
Bleu hollandais;25 000 CFA;Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1115010_uploaded_image1_1572106167.81.png)
Pigeons;Prix sur demande;Fatick, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1137405_uploaded_image2_1572537461.89.png)
Poulets Guinars tiirr;Prix sur demande;Patte d'oie, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1146827_uploaded_image2_1572746441.92.png)
Maton;25 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1148605_uploaded_image1_1572793285.71.png)
Lawar;30 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1148681_uploaded_image1_1572794832.68.png)
Poussin - 1 jour;Prix sur demande;Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1159518_uploaded_image1_1572985208.46.png)
Jeune femelle  lavande;20 000 CFA;Les Parcelles Assainies, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1204935_uploaded_image1_1573840898.61.png)
Pigeons;60 000 CFA;Pikine, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1209192_uploaded_image1_1573933592.0.png)
Pigeon à queue de paon indien;20 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1242200_uploaded_image1_1574510941.51.png)
Pigeon fauve;10 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1246480_uploaded_image1_1574613561.29.png)
Pigeon mondain;20 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1247406_uploaded_image1_1574631655.88.png)
Lapereaux fauve;Prix sur demande;Ngor, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1261253_uploaded_image1_1574871227.98.png)
Lapins de race;70 000 CFA;Guediawaye, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1291213_uploaded_image1_1575425609.27.png)
Lapins de race;70 000 CFA;Guediawaye, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1291215_uploaded_image1_1575425694.27.png)
Lapin;25 000 CFA;Grand Yoff, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1291244_uploaded_image1_1575430604.21.png)
Dinde d'Amérique;Prix sur demande;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1346036_uploaded_image1_1576462750.49.png)
Canards;5 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1346042_uploaded_image1_1576463783.33.png)
Oeuf fécondé;240 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1365452_uploaded_image1_1576790350.48.png)
Trio Bantam de Pékin;60 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1415870_uploaded_image1_1577915713.92.png)
Brahmane;50 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1415899_uploaded_image1_1577916626.18.png)
Poulet de race;40 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1417714_uploaded_image1_1577970779.66.png)
Poussin hermine - 7 jours;15 000 CFA;Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1432855_uploaded_image1_1578928555.77.png)
Poule;35 000 CFA;Hann Bel-Air, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1461888_uploaded_image1_1578719186.99.png)
Males Bantam de Pékin;15 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1480111_uploaded_image1_1579028647.6.png)
Poulet;40 000 CFA;Hann Bel-Air, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1521236_uploaded_image1_1579695858.03.png)
Couple Cochin;Prix sur demande;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1577201_uploaded_image1_1580561085.8.png)
Oies;90 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1584132_uploaded_image2_1580714620.25.png)
Femelle cochin bleu;30 000 CFA;Les Parcelles Assainies, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1599500_uploaded_image1_1580916087.86.png)
Poule;55 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1645136_uploaded_image1_1581608040.8.png)
Blond Panoramin;40 000 CFA;Guediawaye, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1654385_uploaded_image1_1581775358.47.png)
Lapin métissé;10 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1687460_uploaded_image1_1582336381.54.png)
Paon;250 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1691196_uploaded_image1_1582420837.2.png)
Coq Orpington Fauve;35 000 CFA;Louga, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1699722_uploaded_image1_1582581938.31.png)
Pigeons;65 000 CFA;Dakar-Plateau, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1712742_uploaded_image1_1582798028.37.png)
Poussin Orpington;5 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1716103_uploaded_image1_1582837127.36.png)
Coq;25 000 CFA;Les Parcelles Assainies, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1723625_uploaded_image1_1582972350.31.png)
Lapin Angora;25 000 CFA;Thies Nord, Thiès, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1732205_uploaded_image1_1583152160.0.png)
Mâle bantam;20 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1773437_uploaded_image1_1583858452.61.png)
Pigeon texan paon indien;60 000 CFA;Grand Yoff, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1804515_uploaded_image1_1584398280.63.png)
Pigeon texan - Paon indien;60 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1804522_uploaded_image1_1584398352.13.png)
Paon indien;30 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1804679_uploaded_image1_1584402291.56.png)
Poulet de chair;2 700 CFA;Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1804847_uploaded_image1_1584408926.38.png)
Cop Brahma;40 000 CFA;Parcelle Assainies, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1812172_uploaded_image1_1584528622.9.png)
Pigeon voyageur;13 000 CFA;Dakar-Plateau, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1831098_uploaded_image1_1584866026.02.png)
Pigeon voyageur;13 000 CFA;Dakar-Plateau, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1831100_uploaded_image1_1584866055.19.png)
Poulet de chair;3 000 CFA;Rufisque, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1842198_uploaded_image1_1585068914.59.png)
Pigeons Mondain / boulan;Prix sur demande;Louga, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1856511_uploaded_image1_1585321343.73.png)
Poulet de chair;2 500 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1888745_uploaded_image1_1585919292.3.png)
Pigeon paon;40 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1890068_uploaded_image1_1585932988.65.png)
Pigeons;30 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1890093_uploaded_image1_1585933267.84.png)
Pigeons Laor;40 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1890181_uploaded_image1_1585934252.04.png)
Pigeons King;35 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1890193_uploaded_image1_1585934383.75.png)
Coq Orpitone;30 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1890489_uploaded_image1_1585937996.82.png)
Poulet;3 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1907954_uploaded_image1_1586270049.67.png)
Orpington;30 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1913036_uploaded_image1_1586352896.21.png)
Lapins;Prix sur demande;Dieuppeul-Derklé, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1913175_uploaded_image1_1586355015.48.png)
Poulets;2 750 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1918730_uploaded_image1_1586442251.23.png)
Poulets de chairs;2 500 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1934126_uploaded_image1_1586708547.66.png)
Poulets;2 400 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1963021_uploaded_image1_1587139946.35.jpeg)
Poulets;2 400 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1963033_uploaded_image1_1587140018.16.jpeg)
Poussins nés le 8 avril;650 CFA;Saly, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1971696_uploaded_image1_1587287294.47.jpeg)
Couple Brahman;Prix sur demande;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1975396_uploaded_image1_1587342507.59.jpeg)
Poulets de chair;2 500 CFA;Dieuppeul-Derklé, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1988804_uploaded_image1_1587553659.jpg)
Poussins  brahman colombia;Prix sur demande;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1990096_uploaded_image1_1587571540.jpg)
Pigeon;35 000 CFA;Guediawaye, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1992182_uploaded_image1_1587592805.jpg)
Couple Laor;50 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1995115_uploaded_image1_1587645382.jpg)
Pigeons;50 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1995134_uploaded_image1_1587645507.jpg)
Couple  Laor;50 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1995183_uploaded_image1_1587645917.jpg)
Couple Laor;50 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1995210_uploaded_image1_1587646147.jpg)
Oie;35 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_1997244_uploaded_image1_1587667066.jpg)
Poulets;3 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2001942_uploaded_image2_1587735661.98.jpeg)
Poulets à vendre et oeufs;2 200 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2002375_uploaded_image1_1587741273.jpg)
Poulet;4 200 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2021584_uploaded_image1_1588073587.jpg)
Couple Pigeon Cravate;30 000 CFA;Cambérène, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2082389_uploaded_image1_1588989025.jpg)
Poulet Bleu hollandais;30 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2106379_uploaded_image1_1589378473.jpg)
Poulet;3 000 CFA;Dakar Plateau, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2132014_uploaded_image1_1589793253.jpg)
Poulet mâle;2 200 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2172605_uploaded_image1_1590453736.jpg)
Pigeon lavande;35 000 CFA;Cambérène, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2203490_uploaded_image1_1590929887.jpg)
poulet;2 500 CFA;Parcelle Assainies, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2218341_uploaded_image1_1591159723.jpg)
Lapin;15 000 CFA;Parcelle Assainies, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2221308_uploaded_image1_1591193544.jpg)
Lapin;20 000 CFA;Parcelle Assainies, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2221541_uploaded_image1_1591196081.jpg)
Lapins Angora française;15 000 CFA;HLM, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2223516_uploaded_image1_1591222379.jpg)
Lapins;15 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2229912_uploaded_image1_1591309427.jpg)
Poussin brahmane;12 500 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2257183_uploaded_image1_1591743270.jpg)
Poussin brahmane;12 500 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2257189_uploaded_image1_1591743386.jpg)
Jeunes mâles brahman;Prix sur demande;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2258568_uploaded_image1_1591778766.jpg)
Couple bramane productrice;65 000 CFA;Rufisque, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2263150_uploaded_image1_1591826889.jpg)
Culbita rakovni;40 000 CFA;Mermoz-Sacré-Cœur, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2270078_uploaded_image1_1591913628.5.jpeg)
Cochin coucou;40 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2283626_uploaded_image1_1592152112.jpg)
Cochin;40 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2283654_uploaded_image1_1592152413.jpg)
Poules;40 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2284382_uploaded_image1_1592163164.jpg)
Poulet;40 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2284393_uploaded_image1_1592163359.jpg)
Poulet de chair;3 000 CFA;Mbour, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2289615_uploaded_image1_1592241607.jpg)
Lapin - lapereaux;20 000 CFA;Parcelle Assainies, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2297368_uploaded_image1_1592352689.jpg)
Cauchoix pair;70 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2321095_uploaded_image1_1592725829.jpg)
Pigeons;60 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2321099_uploaded_image1_1592725966.jpg)
Poussins Brahmane blanc;10 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2321103_uploaded_image1_1592726101.jpg)
Paon - pigeon;35 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2323541_uploaded_image1_1592764212.jpg)
Pigeons;70 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2323545_uploaded_image1_1592764300.jpg)
Lince;70 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2323612_uploaded_image1_1592765525.jpg)
Poules bleu Hollande;2 000 CFA;Diourbel, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2336310_uploaded_image1_1592955606.jpg)
Lapins;50 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2349641_uploaded_image1_1593167061.jpg)
Poule de race;15 000 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2351149_uploaded_image1_1593181470.jpg)
Colvert;25 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2373373_uploaded_image1_1593556758.jpg)
Cailles;12 500 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2394348_uploaded_image1_1593899461.jpg)
Poussins Brahman;Prix sur demande;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2397001_uploaded_image1_1593963655.jpg)
Poussin brahmane;12 500 CFA;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2421069_uploaded_image1_1594340902.jpg)
Pigeons;40 000 CFA;Mbour, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2421679_uploaded_image1_1594369562.jpg)
Lapins;20 000 CFA;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2429419_uploaded_image1_1594546501.jpg)
Poulet;3 000 CFA;Patte d'oie, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2450669_uploaded_image1_1594987392.jpg)
Poussîns;480 CFA;Dakar Plateau, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2455108_uploaded_image1_1595083998.jpg)
Pigeon voyageur;Prix sur demande;Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2463056_uploaded_image1_1595273844.jpg)
Pigeon boulant de pomerani mâle;50 000 CFA;Guediawaye, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2499730_uploaded_image1_1596141952.jpg)
Lapin femelle;25 000 CFA;Fass, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2501399_uploaded_image1_1596221963.jpg)
Pigeon voyageur;7 000 CFA;Mbao, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2505095_uploaded_image1_1596378141.jpg)
Pigeon voyageur;7 000 CFA;Mbao, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2507523_uploaded_image1_1596456276.jpg)
Paons;5 000 CFA;Mbao, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2511822_uploaded_image1_1596551448.jpg)
Poussins brahman colombia;Prix sur demande;Keur Massar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2513890_uploaded_image1_1596608950.jpg)
Pigeon allemand;50 000 CFA;Mbao, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2516109_uploaded_image1_1596644250.jpg)
Poulet - oeuf;Prix sur demande;Hann Bel-Air, Dakar, Sénégal;Poules, Lapins & Pigeons;background-image:url(https://images.coinafrique.com/thumb_2516606_uploaded_image1_1596653482.jpg)
